pool,estimator,n,n_correct,top1_accuracy,mean_score,mean_correct,mean_incorrect,ece,brier,average_precision,recall_at_90_precision,recall_at_99_precision
pool_en,a_verbalized,499,181,0.3627,0.7694,0.8522,0.7223,0.4071,0.3566,0.6162,0.2210,0.0000
pool_en,b_selected_id_exp_logprob,499,181,0.3627,0.7837,0.9338,0.6983,0.4210,0.3467,0.8162,0.4475,0.0663
pool_en,c1_p_yes,499,181,0.3627,0.2878,0.4315,0.2060,0.1160,0.2077,0.6073,0.0552,0.0497
pool_en,c2_mean_p_a_top3,499,181,0.3627,0.9002,0.9530,0.8702,0.5375,0.4892,0.7508,0.2762,0.0331
hn,a_verbalized,497,82,0.1650,0.8527,0.8927,0.8448,0.6877,0.6004,0.3530,0.0000,0.0000
hn,b_selected_id_exp_logprob,497,82,0.1650,0.7477,0.9441,0.7089,0.5827,0.4588,0.6600,0.1585,0.0976
hn,c1_p_yes,497,82,0.1650,0.4078,0.6074,0.3683,0.2428,0.1975,0.4280,0.0610,0.0610
hn,c2_mean_p_a_top3,497,82,0.1650,0.8499,0.9128,0.8375,0.6851,0.5988,0.4270,0.0122,0.0122
